,stype,id,uname,content,time,v2_up_count
0,8980904,6845494622269361588,说唱bro,李斯丹妮冲啊啊啊啊啊啊啊啊啊！！！！！！！！！！！,877,12
1,8980904,6847413703854078683,,带沙袋的事情我觉得蓝盈莹才委屈 上一期的组也有啊 大家都很积极的带上了,0,9
2,8980904,6845150943280681304,浪花崽,唱跳全能郑希怡，七六五四三二一,0,13
3,8980904,6850715490032879947,,不是啊   吴昕主动站出来让人家选的啊,0,1
4,8980904,6845621972344906043,,都是奔着赢去的，所以蓝盈盈也没什么错,0,9
5,8980904,6864552581902984813,,静姐组的咋俩人太搞笑了，！这叫有友情？,0,
6,8980904,6845382935939642265,,最喜欢白冰 孟佳,1105,8
7,8980904,6845559192807824992,,宁静那里又没跳错，只能说修改的不够完善给人感觉挑错了,1000,6
8,8980904,6845211068528007991,,VIP打卡,1000,4
9,8980904,6845099463802465570,,第一第一来啦,1000,4
10,8980904,6847823353540679400,,琦趣蛋,1931,1
11,8980904,6845099412262857803,,耶，来啦,1955,4
12,8980904,6846286369426739429,,最爱我们萌萌子,2907,8
13,8980904,6845099322068544252,,来了,2739,14
14,8980904,6845099236169198074,,第一,2796,14
15,8980904,6845297947126723262,拎包妹,来了来了,2885,5
16,8980904,6845421521925850552,,来了 来了,2000,4
17,8980904,6846012217368976941,,加油＾０＾~,2130,1
18,8980904,6845100275551288687,跟班小弟,霏霏霏来啦,3000,28
19,8980904,6845229974974097885,浪花崽,都给我嚣张一点,3001,16
20,8980904,6846955731490524546,,姐姐都不涂梵蜜琳,3000,15
21,8980904,6845099300593707699,,第一个？,3977,19
22,8980904,6845108981450030539,拎包妹,刘政宝宝，我想你啦,3000,15
23,8980904,6845661378669933393,,第二遍重复播放，🌹🌹,3432,3
24,8980904,6845110493278525259,最强舞担,郑希怡我来了！,4969,22
25,8980904,6846617700384156147,,啦啦啦,4953,
26,8980904,6845099098730244380,,真准时啊,4751,15
27,8980904,6845254855719717323,浪花崽,来了来了，,4907,13
28,8980904,6845648407868672928,,来看静姐姐啦,4885,8
29,8980904,6846280657120227373,,来啦来啦，为了萌萌子而来,4260,6
30,8980904,6845113959317148636,说唱bro,来了来了yoyo~,5219,20
31,8980904,6845099880414295506,听姐姐的,第一,5127,20
32,8980904,6845101533976711356,浪花崽,卡点卡点来了,5372,18
33,8980904,6845800080343867462,,啊啊啊啊啊，姐姐们加油💪,5000,6
34,8980904,6845174088859500357,实力唱将, 来了来了 ,5000,14
35,8980904,6845962803770141008,,明敏系咯minorXP休息呀1我,5073,1
36,8980904,6845110407379178978,听姐姐的,万茜茜，我来啦,6000,64
37,8980904,6845203732723847453,,喜欢蓝迎盈,6000,42
38,8980904,6845102165336905986,浪花崽,张小雨我来啦,6000,20
39,8980904,6845208903864485021,拎包妹,袁咏琳姐姐我来啦,6000,11
40,8980904,6845099682845798834,浪花崽,来啦来啦姐姐们冲鸭,6183,17
41,8980904,6845405201050113277,,为了文案，我重看了片头,6000,10
42,8980904,6845129361069944312,浪花崽,这次的进度条不错,7408,18
43,8980904,6845144646858606312,演技派,我们小雨是最棒的！！！,7953,16
44,8980904,6845652445137939483,,太忙了，都没来得及看我的姐姐们,7989,2
45,8980904,6845189086885333244,气场强大,来喽！！,7917,12
46,8980904,6845552776126673326,,乘风破浪的姐姐。,7978,5
