,stype,id,uname,content,time,v2_up_count
0,8337559,6837425357961885168,听姐姐的,昕姐冲！！！,0,30
1,8337559,6837994106122529085,,在看一次！,0,
2,8337559,6838116886352935403,,为黄圣依，张雨绮，郑希怡打call,0,13
3,8337559,6837307130396595873,,姐姐们 我来了~~！！！,0,24
4,8337559,6837758462741384194,,我去，真的爱了，都是我喜欢的,0,22
5,8337559,6840389057199198273,,揭谛揭谛揭谛快点快点开始考科三考试,0,7
6,8337559,6837307005842543888,,啊啊啊坤坤我来了,1000,98
7,8337559,6837307336555026739,,顾以森报道哈哈哈哈哈哈哈哈哈,1000,20
8,8337559,6837307353734895986,,姐姐冲啊,1000,22
9,8337559,6837403234585243393,,来啦，打call姐姐们,1103,11
10,8337559,6837309015887245077,,来了来了！！！,1156,14
11,8337559,6841742624733931264,,这是一公的造型哎,1113,3
12,8337559,6837306803979080344,,天天天，可可第一,2982,43
13,8337559,6837307108921759333,,来了来了,2823,33
14,8337559,6837306640770322718,,啊啊啊啊啊郁可唯我来了,2000,27
15,8337559,6837849073666703488,,黄小明，面对姐姐们要挺住啊,2000,20
16,8337559,6837306705194832272,,终于来了！！！,2000,23
17,8337559,6843667573244061409,气场强大,为了宁静来的，开了会员,2780,12
18,8337559,6837374578563311239,听姐姐的,我来了我来了我来了我来了我来了姐姐们冲冲冲哈哈哈哈哈,3971,73
19,8337559,6837307044497249669,,啊啊啊啊啊啊啊啊姐姐们我来了,3808,114
20,8337559,6837741471850713027,,宁静  宁静  宁静  为您打call  ,3067,62
21,8337559,6850486984887544790,,我是看到杜华哭了所以特意回来重温一下第一集的,3971,5
22,8337559,6838811889371654234,,这里的姐姐都好彪悍啊，怕了怕了,3978,37
23,8337559,6844183579205551670,,来啦哈哈哈哈哈哈哈哈哈哈哈哈哈,3914,5
24,8337559,6837351145221630617,,啊啊啊啊啊居然就悄无声息的播了,4958,72
25,8337559,6838532944130441558,,来了,4045,5
26,8337559,6850651348991142216,,来了,4004,1
27,8337559,6837306812569014962,,来了来了看姐姐,4938,52
28,8337559,6837314607934681970,,姐姐们，我来了！,4955,47
29,8337559,6837507134139612309,,来看孟佳孟佳孟佳！,4541,46
30,8337559,6837325199324077237,,开场白梦回srrx晰哥低音,5211,141
31,8337559,6837322441955060774,,宁静宁静！,5990,95
32,8337559,6837327449886950340,,黄晓明开始历险可还行,5182,78
33,8337559,6839073727758125841,,看了好几遍啦   姐姐们 加油啊,5039,5
34,8337559,6838956075718921026,,哪个姐姐我都想pick,5357,6
35,8337559,6846247276634351708,,静静子，我来啦！！！！！！,5911,2
36,8337559,6837510179271436397,实力唱将,为吴昕而来😍😍给我冲啊姐姐！！！,6297,50
37,8337559,6846207926143892145,,金晨金晨金晨金晨北舞校花,6994,19
38,8337559,6837374922160696603,,付仙女，爸爸爱你,6938,21
39,8337559,6838393379167952649,,来了来了来了！！！！给姐姐们打call！！,6137,8
40,8337559,6837866627198106893,气场强大,来看宁静了 哈哈,6000,18
41,8337559,6840776080997798228,,看了觉得伊能静姐姐好温柔！,6000,3
42,8337559,6837662156689388764,拎包妹,刷第二遍了，全部看完要五个小时，哈哈哈,7022,32
43,8337559,6838102356478536108,听姐姐的,昕姐昕姐加油加油(ง •̀_•́)ง,7972,26
44,8337559,6837378130501282257,气场强大,姐姐们我来了,7240,32
45,8337559,6839917053177350196,,哈哈哈千呼万唤始出来啊,7000,8
46,8337559,6839857597944981712,,看多了其他的选秀节目，把姐姐们想得简单了,7131,6
47,8337559,6837309050246983556,,哈哈哈哈哈哈我来了姐姐们,7093,26
48,8337559,6837306726669668807,,万茜冲啊！！！！筒子来啦！！！！,8135,80
49,8337559,6837393003973098571,听姐姐的,这个综艺我锁了,8000,49
50,8337559,6837653257517130157,,晓明哥的微博，每一位哈哈哈哈哈哈笑死我,8000,18
51,8337559,6839566953212870211,,哈哈哈我是来看各位漂亮姐姐互撕的哈哈哈哈,8000,8
52,8337559,6837307770346725026,,万茜冲啊！,8769,43
53,8337559,6844427894125434142,,我又听了一遍文案，这个写文案的员工加鸡腿,8000,6
54,8337559,6837728329250745126,,小明历险记哈哈哈哈哈,9000,154
55,8337559,6837627251490107790,,没有一点点防备你就这样出现,9000,42
56,8337559,6837307886310842388,,给绮绮子排面！,9855,56
57,8337559,6842449718085364749,,姐姐们都好爱(๑°3°๑),9253,9
58,8337559,6837442533536186579,听姐姐的,哈哈哈哈哈哈   来了来了,9729,41
59,8337559,6842163604543741001,,听说这个综艺很有话题度，过来看看,9995,7
60,8337559,6857792260412031044,,至今为止这是唯一一个点击量能与奔跑吧兄弟比的,10132,1
61,8337559,6838609334418892864,,这个文案爱了,10130,13
