,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,29,6.86229E+18,气场强大,3,佳鸽我来了,0,1
1,29,6.86226E+18,,0,签到,0,1
2,29,6.86217E+18,,0,第二,0,1
3,29,6.86217E+18,,0,来了,0,1
4,29,6.86217E+18,,0,第一～,905,1
5,29,6.86217E+18,,0,啊啊啊来了,0,
6,29,6.86218E+18,,0,孟佳我来了,1000,16
7,29,6.86218E+18,,0,打卡,1922,
8,29,6.86218E+18,,0,来了来了,1872,2
9,29,6.86218E+18,,0,打卡,1911,
10,29,6.86218E+18,,0,打卡,1892,
11,29,6.86218E+18,,0,来了,1802,
12,29,6.86217E+18,气场强大,3,万崽四蛋妈妈来了,2065,3
13,29,6.86217E+18,,0,李斯丹妮~,2020,32
14,29,6.86217E+18,,0,郑希怡我来了,2000,
15,29,6.86217E+18,,0,第一,2824,1
16,29,6.86217E+18,,0,第一,2678,
17,29,6.86217E+18,,0,来了！,2000,
18,29,6.86217E+18,,0,王霏霏我来了,3781,24
19,29,6.86217E+18,说唱bro,3,我来了四蛋,3953,7
20,29,6.86228E+18,,0,郑希怡来了,3000,5
21,29,6.86217E+18,,0,来啦,3951,3
22,29,6.86217E+18,,0,来了,3004,2
23,29,6.86242E+18,,0,来了,3000,
24,29,6.86217E+18,,0,来啦我的蛋,4956,8
25,29,6.86217E+18,,0,想看冠军组姐姐,4000,2
26,29,6.86217E+18,,0,阿朵,4487,1
27,29,6.86217E+18,,0,第一,4000,1
28,29,6.86217E+18,,0,来啦,4000,1
29,29,6.86217E+18,,0,第一,4358,
30,29,6.86217E+18,,0,四蛋，来看你！,5948,10
31,29,6.86217E+18,太后驾到,3,我来啦,5009,3
32,29,6.86217E+18,,0,我是第一，哈哈哈,5915,1
33,29,6.86217E+18,,0,第一,5046,1
34,29,6.86219E+18,拎包妹,3,我来啦！,5954,
35,29,6.86217E+18,,0,第一！,5010,1
36,29,6.86217E+18,,0,茜茜，我来了,6000,3
37,29,6.86217E+18,,0,来看朵啦,6000,5
38,29,6.86217E+18,,0,第一,6798,2
39,29,6.86531E+18,,0,i,6309,
40,29,6.86227E+18,,0,打卡,6000,
41,29,6.86217E+18,,0,lei了！,6000,
42,29,6.86416E+18,,0,来了来了,7973,
43,29,6.86217E+18,,0,来啦来啦,7000,1
44,29,6.86384E+18,,0,打卡日期周一下午上午到下午四点,7000,
45,29,6.86374E+18,,0,打卡,7028,
46,29,6.86347E+18,,0,来了,7760,
47,29,6.86334E+18,,0,李斯李斯李四蛋我来啦,7045,
48,29,6.86217E+18,,0,来看宁静,8774,3
49,29,6.8622E+18,气场强大,3,打卡,8430,1
50,29,6.86217E+18,,0,来啦,8154,1
51,29,6.8627E+18,最强舞担,3,孟佳我来了,8878,
52,29,6.86217E+18,,0,我是最早的吗,8000,1
53,29,6.86217E+18,,0,来了,8973,
54,29,6.86218E+18,听姐姐的,3,来了,9409,2
55,29,6.86217E+18,,0,万茜我来啦,9854,1
56,29,6.86217E+18,,0,菲贼寇,9000,1
57,29,6.86217E+18,,0,第一,9000,
58,29,6.86217E+18,,0,第一,9024,
59,29,6.86217E+18,,0,第一,9250,
60,29,6.86217E+18,,0,静静子我来了,10000,4
61,29,6.86236E+18,,0,又来了,10008,1
62,29,6.86217E+18,,0,我又来了,10149,1
63,29,6.86715E+18,浪花崽,3,李四蛋爸爸来了,10000,
64,29,6.86217E+18,,0,够准时,10000,1
65,29,6.86246E+18,,0,来了来了,10875,
66,29,6.86217E+18,,0,好想看蔡依林的玫瑰少年,11013,7
67,29,6.86217E+18,,0,李斯丹妮，来看你呦！,11893,4
68,29,6.86217E+18,,0,第一来看四蛋了,11110,5
69,29,6.86258E+18,,0,来了,11180,1
70,29,6.86227E+18,,0,乘风破浪的姐姐全都是很棒的,11892,
71,29,6.86217E+18,,0,来了,11035,1
72,29,6.86217E+18,,0,张含韵,12191,8
73,29,6.86217E+18,,0,来看小雨,12717,6
74,29,6.86217E+18,,0,第一第一,12887,
75,29,6.86217E+18,,0,来了,12175,
76,29,6.86217E+18,,0,打卡,12000,
77,29,6.86217E+18,,0,孟佳小可爱！！！我来啦..,13456,5
78,29,6.86217E+18,,0,符朵朵冲鸭,13000,2
79,29,6.86217E+18,,0,小雨,13642,2
80,29,6.86217E+18,,0,第一第一,13249,
81,29,6.86217E+18,,0,来了,13007,
82,29,6.86217E+18,,0,第一，还没十二点诶,13987,
83,29,6.86217E+18,,0,表白静静子,14808,5
84,29,6.86217E+18,,0,??我来啦?───Ｏ（≧?≦）Ｏ────?,14000,2
85,29,6.86737E+18,,0,来了,14339,
86,29,6.86217E+18,,0,来啦来啦,14000,
87,29,6.86217E+18,,0,第一吗,14342,
88,29,6.86217E+18,,0,来了,14972,
89,29,6.86217E+18,,0,孟佳啊啊啊爱你宝贝,15000,6
90,29,6.86217E+18,,0,来了,15213,1
91,29,6.86627E+18,,0,打卡,15850,
92,29,6.86217E+18,,0,孟佳我来啦,15000,1
93,29,6.86617E+18,,0,打卡,15000,
94,29,6.8631E+18,,0,来了,15000,
95,29,6.86217E+18,,0,来了来了，来看朵姐,16000,5
96,29,6.86217E+18,,0,宁静姐姐，来啦,16270,3
97,29,6.86217E+18,,0,诶 还是我,16524,
98,29,6.86217E+18,,0,第一,16099,1
99,29,6.86217E+18,,0,我来了,16038,
100,29,6.86217E+18,,0,第一个,16469,
101,29,6.86217E+18,,0,阿朵冲鸭,17000,4
102,29,6.86217E+18,,0,万爷来了,17193,7
103,29,6.86217E+18,,0,李斯丹妮我爱你,17409,1
104,29,6.86217E+18,,0,来了来了,17952,1
105,29,6.86217E+18,,0,来了,17000,1
106,29,6.86217E+18,,0,第一,17659,
107,29,6.86217E+18,太后驾到,3,来了来了，佳鸽我们来了,18224,6
108,29,6.86217E+18,,0,晨雨落雁我来了,18000,3
109,29,6.86217E+18,,0,来踏柳啦！,18190,1
110,29,6.86227E+18,,0,加油,18100,
111,29,6.86217E+18,,0,还有bww……,18285,
112,29,6.86217E+18,,0,第一第一,18000,
113,29,6.86218E+18,,0,万茜姐姐我来啦,19000,4
114,29,6.86218E+18,,0,来看小李！！,19743,7
115,29,6.86218E+18,,0,万茜宝贝我来了,19676,1
116,29,6.86626E+18,,0,欢迎回来！！！,19000,
117,29,6.8657E+18,,0,孟佳,19000,
118,29,6.86231E+18,,0,来了,19057,
119,29,6.86226E+18,气场强大,3,来为小花打call,20046,1
120,29,6.86343E+18,,0,来了来了,20000,
121,29,6.86217E+18,,0,我第一！,20000,1
122,29,6.86217E+18,,0,激动,20000,
123,29,6.86217E+18,,0,太少了不够,20000,
124,29,6.86217E+18,,0,一个人承包屏幕,20892,
125,29,6.86217E+18,,0,王霏霏我来了,21023,12
126,29,6.86226E+18,,0,?化的辰辰子,21913,3
127,29,6.86217E+18,,0,大碗回归啦啦啦,21138,3
128,29,6.86217E+18,,0,来啦,21051,1
129,29,6.86217E+18,,0,第一,21000,
130,29,6.86217E+18,,0,第一,21662,
131,29,6.86217E+18,,0,万崽麻麻爱你/,22086,3
132,29,6.86336E+18,,0,佳鸽我来了,22000,1
133,29,6.86217E+18,,0,蹲静静,22933,2
134,29,6.86217E+18,,0,男妈妈来了！男妈妈来了！,22361,1
135,29,6.8636E+18,,0,好看呐,22000,
136,29,6.86227E+18,,0,来了,22898,
137,29,6.86217E+18,,0,看我茜茜姐啦！！！,23756,10
138,29,6.86217E+18,,0,为我静静女王而来,23289,10
139,29,6.86218E+18,,0,孟佳啊啊啊啊,23000,8
140,29,6.86218E+18,,0,孟佳 我是你女朋友,23000,
141,29,6.86217E+18,,0,开心,23332,
142,29,6.86253E+18,听姐姐的,3,小花麻麻来了,24000,1
143,29,6.86217E+18,,0,茜姐,24000,2
144,29,6.86217E+18,,0,来了,24083,
145,29,6.86217E+18,,0,来了,24298,
146,29,6.86217E+18,,0,想看冠军组姐姐啊啊啊啊,25000,2
147,29,6.86217E+18,,0,来看郑希怡,25146,2
148,29,6.8623E+18,,0,来了,25867,
149,29,6.86217E+18,,0,毛线出来挨打,25000,
150,29,6.86217E+18,,0,为了静姐，既然第一,25009,
151,29,6.86217E+18,,0,来了,25000,
152,29,6.86217E+18,,0,孟佳孟佳我来了,26478,8
