,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,1,6845494622269361588,说唱bro,3,李斯丹妮冲啊啊啊啊啊啊啊啊啊！！！！！！！！！！！,877,12.0
1,1,6847413703854078683,,0,带沙袋的事情我觉得蓝盈莹才委屈 上一期的组也有啊 大家都很积极的带上了,0,9.0
2,1,6845150943280681304,浪花崽,3,唱跳全能郑希怡，七六五四三二一,0,13.0
3,1,6850715490032879947,,0,不是啊   吴昕主动站出来让人家选的啊,0,1.0
4,1,6845621972344906043,,0,都是奔着赢去的，所以蓝盈盈也没什么错,0,9.0
5,1,6864552581902984813,,0,静姐组的咋俩人太搞笑了，！这叫有友情？,0,
6,1,6845382935939642265,,0,最喜欢白冰 孟佳,1105,8.0
7,1,6845559192807824992,,0,宁静那里又没跳错，只能说修改的不够完善给人感觉挑错了,1000,6.0
8,1,6845211068528007991,,0,VIP打卡,1000,4.0
9,1,6845099463802465570,,0,第一第一来啦,1000,4.0
10,1,6847823353540679400,,0,琦趣蛋,1931,1.0
11,1,6845099412262857803,,0,耶，来啦,1955,4.0
12,1,6846286369426739429,,0,最爱我们萌萌子,2907,8.0
13,1,6845099322068544252,,0,来了,2739,14.0
14,1,6845099236169198074,,0,第一,2796,14.0
15,1,6845297947126723262,拎包妹,3,来了来了,2885,5.0
16,1,6845421521925850552,,0,来了 来了,2000,4.0
17,1,6846012217368976941,,0,加油＾０＾~,2130,1.0
18,1,6845100275551288687,跟班小弟,3,霏霏霏来啦,3000,28.0
19,1,6845229974974097885,浪花崽,3,都给我嚣张一点,3001,16.0
20,1,6846955731490524546,,0,姐姐都不涂梵蜜琳,3000,15.0
21,1,6845099300593707699,,0,第一个？,3977,19.0
22,1,6845108981450030539,拎包妹,3,刘政宝宝，我想你啦,3000,15.0
23,1,6845661378669933393,,0,第二遍重复播放，🌹🌹,3432,3.0
24,1,6845110493278525259,最强舞担,3,郑希怡我来了！,4969,22.0
25,1,6846617700384156147,,0,啦啦啦,4953,
26,1,6845099098730244380,,0,真准时啊,4751,15.0
27,1,6845254855719717323,浪花崽,3,来了来了，,4907,13.0
28,1,6845648407868672928,,0,来看静姐姐啦,4885,8.0
29,1,6846280657120227373,,0,来啦来啦，为了萌萌子而来,4260,6.0
30,1,6845113959317148636,说唱bro,3,来了来了yoyo~,5219,20.0
31,1,6845099880414295506,听姐姐的,3,第一,5127,20.0
32,1,6845101533976711356,浪花崽,3,卡点卡点来了,5372,18.0
33,1,6845800080343867462,,0,啊啊啊啊啊，姐姐们加油💪,5000,6.0
34,1,6845174088859500357,实力唱将,3, 来了来了 ,5000,14.0
35,1,6845962803770141008,,0,明敏系咯minorXP休息呀1我,5073,1.0
36,1,6845110407379178978,听姐姐的,3,万茜茜，我来啦,6000,64.0
37,1,6845203732723847453,,0,喜欢蓝迎盈,6000,42.0
38,1,6845102165336905986,浪花崽,3,张小雨我来啦,6000,20.0
39,1,6845208903864485021,拎包妹,3,袁咏琳姐姐我来啦,6000,11.0
40,1,6845099682845798834,浪花崽,3,来啦来啦姐姐们冲鸭,6183,17.0
41,1,6845405201050113277,,0,为了文案，我重看了片头,6000,10.0
42,1,6845129361069944312,浪花崽,3,这次的进度条不错,7408,18.0
43,1,6845144646858606312,演技派,3,我们小雨是最棒的！！！,7953,16.0
44,1,6845652445137939483,,0,太忙了，都没来得及看我的姐姐们,7989,2.0
45,1,6845189086885333244,气场强大,3,来喽！！,7917,12.0
46,1,6845552776126673326,,0,乘风破浪的姐姐。,7978,5.0
47,1,6864385383120629227,,0,晨晨子爱你呀(≧∇≦)/,7155,
48,1,6845116544887472943,演技派,3,顾以森打卡哈哈哈哈哈哈哈哈哈,8000,33.0
49,1,6845211167312256077,,0,说重点,8015,24.0
50,1,6845100803832268227,拎包妹,3,昕姐我来看你啦啦啦！,8100,13.0
51,1,6845791374445150973,,0,大家好  吴昕 梦辰 孟佳 冲  七人组大碗宽面冲,8015,1.0
52,1,6845112851215581353,浪花崽,3,姐姐们我来了,8038,11.0
53,1,6845237435332313012,浪花崽,3,来看热闹喽,8000,6.0
54,1,6845147709170297882,听姐姐的,3,琦琦子 加油加油,9000,33.0
55,1,6845270351961767747,浪花崽,3,都是vip精神点,9918,14.0
56,1,6846391136564154239,,0,加油(ง •̀_•́)ง昕昕子,9771,10.0
57,1,6849750823196956395,,0,要是巩俐 章子怡 张曼玉 王菲 周迅 赵薇来这个节目踢馆绝对爆,9000,1.0
58,1,6845101555451547925,气场强大,3,来喽来喽,9008,11.0
59,1,6845227136000706929,听姐姐的,3,姐姐们 来了,9000,9.0
60,1,6845100576199000662,听姐姐的,3,来了来了,10815,14.0
61,1,6845222686414575607,,0,谁有会员啊？,10000,7.0
62,1,6845118069600870659,听姐姐的,3,来了来了,10000,8.0
63,1,6846279514658924934,,0,昕昕子冲啊啊啊啊啊啊,10083,1.0
64,1,6845099863234426233,,0,来了来了 🧍‍♀️,10000,7.0
65,1,6849913632522325377,,0,姐姐们我来啦,10097,
66,1,6845180183418107836,实力唱将,3,以为要晚上才能看到，没想到刚刚一打开就有了,11848,11.0
67,1,6845107053009706642,听姐姐的,3,来了,11011,10.0
68,1,6845178147603604790,听姐姐的,3,来了,11686,7.0
69,1,6845099227579263468,,0,妥妥滴第一,11898,6.0
