,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,4,6690154200295830645,Angela惠,4,顾佳 : 不错,26,0
1,4,6690479366549784966,珊,3,顾佳 :  喜欢顾佳,25,0
2,4,6690482346959245946,,0,这部剧有小说吗,26,2
3,4,6690555359716903205,后来。,1,王漫妮 : 😁,27,1
4,4,6690605065893816534,,0,王漫妮 : 超好看的一部都市剧,25,2
5,4,6691573679417442467,,0,  如果是癫痫的话不能这么按着的,25,0
6,4,6689890680438272373,,3,王漫妮 : 第一,6,5
7,4,6690101159019398153,,0,好看有人,6,2
8,4,6690253825175126610,猫猫,6,哈哈,5,0
9,4,6690354875546977258,,4,顾佳 : 顾佳,7,2
10,4,6690462314299323268,,3,来了,8,0
11,4,6690912310066136170,,0, 1,8,0
12,4,6691326890965707035,,0,我,5,0
13,4,6689926094256578563,,5,王漫妮 : 这才是好剧,16,6
14,4,6690273809851196754,听风,6,王漫妮 : 超好看的一部都市剧,19,3
15,4,6690479286094645369,珊,0, 超帅的全职妈妈        超帅的全职妈妈,19,1
16,4,6690605755255684730,,1,来了,15,0
17,4,6691188371760857627,🍃怀念最初🐹,1,王漫妮 : 最近的剧超好看，在追两部戏,18,0
18,4,6690200342506227026,二十三度晴天,3,王漫妮 : 1,20,3
19,4,6690231750963165991,,6,王漫妮 : 超帅的全职妈妈        超帅的全职妈妈,21,6
20,4,6690252421870370957,,6,王漫妮 : 就喜欢腾讯的不准时,22,2
21,4,6690264558726484659,LI-,3,顾佳 : 撕,24,2
22,4,6690611732256323738,,0,王漫妮 : 这部剧值得推荐,20,1
23,4,6690640999581497113,,3,听一教授说，他孙子上学，父母、外公外婆，爷奶都面试,23,2
24,4,6690782711172500867,T,0, 超帅的全职妈妈        超帅的全职妈妈,24,1
25,4,6691011812113185675,你是我的唯一❤️❤️,0,哎 不知道自己30岁又是怎么样的,21,1
26,4,6691330654815322071,燈稱,0, 来了来了,22,0
27,4,6691512142744982127,猫猫,0,哈哈,23,0
28,4,6689895495030211774,筱筱蕤,6,打卡,3,0
29,4,6689901584776884567,,3,聪明的女人,0,24
30,4,6689902274552505090,,6,高端幼儿园的家长都是这样的人吗？太可怕了。,0,58
31,4,6689902667007983468,,0, 好看。就是没人评论,3,3
32,4,6689904705154513359,,5,好心疼钟晓芹,0,38
33,4,6689904873854968821,心无所系丶随遇而安,2,Good,0,1
34,4,6689905480475800444,,5,这个男的好讨厌啊啊啊啊！,0,3
35,4,6689905897286115557,,4,这么活泼的女孩子怎么和这种人生活在一起呢,0,4
36,4,6689905968492779036,siviya,0,这个男的要破产了吧,0,4
37,4,6689906217003973909,siviya,0,这剧的人都挺有钱，住的地方都是寸土寸金的地方,0,1
38,4,6690067711981531391,彭哈哈💋,4,王漫妮 : 女神江,4,1
39,4,6690373803777917181,人生如梦,0,二,4,2
40,4,6690604847340914739,,3,好久没看到这么真实这么接地气的电视剧了,2,2
41,4,6690611583707975883,,7,两人都有问题，这女的什么也不懂,1,2
42,4,6690632923601152011,吴楠,0, 酷酷,4,1
43,4,6690757901414842206,,0,滴滴,1,0
44,4,6690762482685327947,潘潘,0,计算机基础好吃,2,0
45,4,6691008889951295009,艾玛呀,0, 乖宝宝,2,0
46,4,6691365800605057743,,0, 来了,2,1
47,4,6691426051307371517,,0, b,3,0
48,4,6691463354139483694,,0,南安王,2,0
49,4,6690036496206336185,ing,3,王漫妮 : 来了第一,13,4
50,4,6690166344199422134,前进的坦克,0, 超帅的全职妈妈        超帅的全职妈妈,13,4
51,4,6690242660261143208,猪猪,4,王漫妮 : 这部剧值得推荐,12,5
52,4,6690477355664863249,独白,0, 特意开了一个会员😫😫😫😫,13,1
53,4,6690609337951830512,,0,打卡,13,0
54,4,6690610248245511984,,0,好看有人,12,0
55,4,6690831534640001500,Karina Ching,2,王漫妮 :  最喜欢的江疏影和张钧蜜都在✌️,11,3
56,4,6690896488543268744,丽芝,0, 你叫什么名字[厉害],12,0
57,4,6690907711578023232,,0, 三十而已,13,0
58,4,6691118678084713765,,0, 顾佳,13,0
59,4,6691121798361674779,,0, 女神江,11,0
60,4,6691371712823981960,,0, 呵呵,12,0
61,4,6691379377504192353,,5,[加油]我,10,0
62,4,6691386291985611274,,0, 镜头很棒，有看电影大那味,12,0
63,4,6691615782288422378,Cruise,3,王漫妮 : 顾佳,14,0
64,4,6690264647854469572,LI-,3,顾佳 : 这集是不是打架了,30,5
65,4,6690618147504375714,雨文老师,0,来了,34,0
66,4,6690643115713697263,🦋最美胖圆儿,4,顾佳 :  喜欢顾佳,32,1
